"columna_1","columna_2"
"Hoy e tenido un problema con un…","Hoy e tenido un problema con un apartamento de benidorm teníamos que entrar y cuando hemos llegado nada que ver con las fotografías humedades todo sucio enseguida e contactado con atención al cliente y me han atendido una chica estupenda me han echo transferencia del dinero del otro apartamento y me han pagado ellos la diferencia con el otro apartamento gracias por la atención"
"Nuestra experiencia fue excepcional…","Nuestra experiencia fue excepcional fuimos a ver a la virgencita y darle gracias a Dios y a Ella porque mi hermano tenía cancer de Tyroides etapa cuatro no se le encontró asta que el se ahogaba con su propia sangre lo operaron salió bien está bien Íbamos con mucho miedo por lo que se dice que te van a robar a secuestrar duerme con los documentos contigo no dejes nada te roban en la anotación nada de eso para el lugar con buena ubicación nos encantó Andrés súper amable inclusive nos dio guías en toda nuestra instancia muchísimas gracias volveremos claro que si el apartamento tiene una buena vista si le gusta observar tomando un cafecito con una guajolota uhhhh ."
"Muy muy contenta con esta plataforma","Tengo dos anuncios en esta plataforma estoy contentisima con ellos.Llevo años con ellos y le digo que la atencion cliente marravillosa,es de confianza tanto como amfitrion como huesped tb.No tengo quejas nada de Airbnb es la mejor plataforma hoy en dia."
"REEMBOLSO 100% POR COVID-19","Soy de República Dominicana. Hice una reserva hace unos días para mi y mi novio que venía desde España. Lamentablemente, fui diagnosticada con COVID-19 unos días antes del viaje, por lo que tuve que cancelar la reserva. Me comuniqué con Airbnb vía twitter y rápidamente me pusieron en contacto con un representante de servicio al cliente a través de la app de Airbnb y solo tuve que envíar foto de los resultados de la prueba y unos minutos después habían cancelado la reserva y habían reembolsado todo el dinero a mi cuenta."
"Soy anfitrión","Soy anfitrión. Air B&B es  lo mejor.Yo tengo 5 estrellas , ninguna evaluación de 4. Soy Alfonso Perdrix, y me reservan de un año para otro. No hay una plataforma más serie que Air B&B. Doy fe."
"Airbnb es la forma más segura de viajar.","Airbnb es la forma más segura de viajar y hospedar. Para los anfitriones como yo, nos llega a cubrir hasta 50.000€ en daños causados por nuestros huéspedes. Puedes alquilar alojamiento únicos y con calidad airbnb, y ante cualquier problema responden muy rápido en su teléfono 911234567. Existe una gran diferencia entre el tipo de cliente de Airbnb y otras web similares. El único problema que le veo, que es necesario invertir bastante tiempo para dar con el alojamiento perfecto. Todas las políticas de cancelación están definidas previamente, pero claro a la gente se le olvida leer. Gracias Airbnb por ofrecernos está plataforma de calidad y poder ofrecer nuestros alojamientos con garantías."
"Soy viajero y anfitrión de Airbnb","Soy viajero, principalmente por Europa, en coche y siempre que he contratado con Airbnb me ha ido bien.Como anfitrión de Casa la Cuesta Blanca en Valdeganga(España), siempre me ha funcionado muy bien. Nunca he tenido problemas con la compañía."
"Buena experiencia","He usado esta app solo dos veces. Una en Almería y otra en Madrid. En Almería, la experiencia fue muy buena. En Madrid, ha sido mala. Me cambiaron las condiciones de la reserva, poco antes de acudir, y tuve que dormir en otro sitio. La anfitriona daba todo tipo de excusas para no cancelar la reserva.Días después, abrí una reclamación y me puse en contacto con el equipo de Airbnb. Me atendieron rápido, a pesar de ser tarde. Les pasé las conversaciones de WhatsApp y quedó todo zanjado en menos de 24 horas. Además, me dieron un pequeño cupón de descuento por las molestias.Creo que Airbnb es una oportunidad. Los particulares pueden ofrecer sus viviendas y nosotros podemos disfrutar de alternativas al hotel. Sin Airbnb, las opciones de los consumidores serían más escasas."
"Reseña Piso Reconquista","Expectacular experiencia. Piso acogedor, impecable, cómodo y muy bien ubicado. La anfitriona de 10. MUY RECOMENDABLE"
"Vergonzoso","Vergonzoso. Habíamos alquilado un apartamento en Londres y por motivos de situación de Covid  ( trabajo en un hospital) nos cancelaron los días libres, vacaciones, etc. Aporte toda la documentación que justificaban la cancelación del viaje y nos devolvieron solo el 50%. Una vergüenza, no solo no volveré a utilizar este tipo de reserva sino que difundiré una opinión lamentable de ellos."
