"columna_1","columna_2"
"Mala plataforma que no cuida a sus anfitriones","Soy anfitriona de esta plataforma y después de varias mentiras por parte de un huésped y sin pruebas me dicen que en el próximo cobro me van a quitar el 30% por noche. Llevo años en esta plataforma pero voy a sacar el anuncio, Booking es más fiable y se alquila mucho más, con esta plataforma como mucho tengo 2 alquileres anuales."
"Estafadores","Llevo 3 años en la plataforma como anfitrión y unos 15 como huesped. Como anfitrión tengo máxima puntuación en todas las reseñas y mi penúltima huesped se me queja por unos supuestos ruidos que no existen como después puedo comprobar y me exige un reembolso, cosa que evidentemente deniego porque no lleva razón. Esta huesped reclama a Airbnb y me dicen que la tengo que devolver 85€. Después de hablar con ellos me dan la razón y me dicen que no habrá penalización para mi y que perdone las molestias. Cual es mi sorpresa cuando en la siguiente reserva me hacen el ingreso y descuentan los 85€. Les llamo y como ha quedado refl Jasón lo que había sucedido, la persona que me atiende me dice que no me debían haber descontado ese dinero y que pasa el caso al departamento superior. Pues bien, no he vuelto a saber nada y me quedo sin mis 85€. Son unos ladrones y unos sinvergüenzas. Precedo a dar de baja mi anuncio."
"Muy mala experiencia","Muy mala experiencia, reservo con un año de antelación y sin explicación me lo anulan 6 meses antes, sin ninguna penalización para el anfitrión, pregunto cual es la razón y me dicen q por fuerza mayor, sin más explicaciones y sin penalización para el anfitrión."
"Soy anfitriona de una casa dentro de la…","Soy anfitriona de una casa dentro de la propiedad hay sistema de seguridad por la cuestion de los okupas, cuando entraron mis ultimos huespedes me preguntaron sobre los dispositivos yo les explique que eran sensores de movimiento pero que mientras hubieran huespedes estaban apagadas que no se preocuparan, y cuando salieron pusieron quejas a Airbnb, ellos me llamaron les expluique todo con la verdad y inmediatamente me cerraron todo, no puedo hacer nada y la casa quedo bloqueada con ellos y esa decision fue muy extrema para mi."
"Soy anfitriona hace 10 años con…","Soy anfitriona hace 10 años con evaluaciones de 5 estrellas, llega un huésped que NO HA LEÍDO EL ANUNCIO, AL CUAL HE INFORMADO  EN VARIAS VECES DE LAS NORMAS DE MI CASA, hace lo que quiere y decide irse, Airbnb no sólo admite su solicitud sino que ignora mis pruebas.Me han robado 800 euros, nada es claro cobran doble comisión, no te atiende nadie más allá de atención al cliente, no hay instancias superiores. Te dejan en una situación de impotencia...yo me voy son unos auténticos  ladrones. Mucho cuidado a los que llegáis. Es injusto he indignarse. Intenta reservar por tu cuenta para que no te roben como a mí."
"Fallo grave en Air bnb para propietarios","Deberías de compensar a los propietarios económicamente a los cuales nos habéis bloqueado el anuncio como a mí durante los dos meses y hoy mismo he podido volver a publicarlo. Por eso he modificado este comentario pero os merecéis 1 estrella igualmente"
"AIRBNB cómplices de un anuncio fraudulento","Llevo denunciando mes y medio un anuncio fraudulento que se ha publicado utilizando el material fotográfico de mi propiedad y solicitando su inmediata retirada de la plataforma. AIRBNB está siendo cómplice del fraude porque no hace nada al respecto, sólo se escala a agentes de un escalafón superior pero, a fecha de hoy, no han solucionado mi reclamación."
"No recomiendo para nada","No recomiendo para nada. Falta de profesionalidad, 0 empatía con el usuario. Te marean y no te solucionan nada y se niegan después de molestarte en pedir pruebas y al final no te devuelven nada. Me dicen que el agua caliente para ducharse no es un servicio que se ofrezca al contratar un alojamiento con ellos. Vergonzoso . Aparramentos sucios y sin respuesfa x falta de suministros esenciales. No volveré a contratar sus servicios y menos lo recomiendo."
"SON UN DESASTRE","SON UN DESASTRE. Respaldó al usuario CERO. Alquilamos 3 días con mi pareja un apartamento el cual no tenía agua. Nos tuvieron a cuento los anfitriones 3 días con que la estaban arreglando pero que igual nos iba a devolver el dinero. Termino nuestra esta día y no tuvimos agua. No PUDIMOS BAÑARNOS, el anfitrión desapareció, obvio no nos devolvió absolutamente nada, hicimos reclamo por airbnb y nos devolvieron 10 dólares SI, escucharon bien. De 150 USD que GASTAMOS. CON LA EXCUSA DE QUE ERA EL 30% de cada día??????? Que lo demás eran impuestos de la plataforma. O sea, nos estafaron, no tuvimos agua, no nos pudimos bañar y el anfitrión que alquilamos por SU PLATAFORMA DESAPARECIÓ y no se hacen cargo!!!!!!! Dicen que no pueden solucionarnos nada y darnos una devolución. Estoy ASQUEADA, no puedo entender cómo una empresa tan conocida internacionalmente actúe de esta manera, imagínense que si no conseguimos devolución de dinero con esta situación que realmente es vergonzosa, olvídense de su plata cuando alquilen por acá y recen que no les pase nada por qué no van a ayudarlos ni a darles respaldo, van a perder su plata. Nunca pero nunca más, y la uso hace 11 años"
"Airbnb ya no es recomendable.","Después de 16 años en airbnb sin problemas, ahora debido a una serie de puntuaciones bajas sin motivo ni justidicación por parte del cliente, me han cerrado la cuenta. Da demasiada voz al inquilini que tiene libertad total para hundirte el anuncio si no esta de acuerdo en algo. Cada vez es mas complicado contactar con las ofici as de airbnb si tienes alguna duda o problema... Después de tantos años con ellos ahora veo que si no tienes el maximo de puntuación como propietari, ere un problema para ellos y te echan de la plataforma. No recomiendo a nadia iniciarse en airbnb y  como turista, tampoco!"
