Positivas,Neutras,Negativas
Excelente,fiar,problemático
guay,Aceptable,inhabitable
cómodo,Regular,insuficiente
recomiendo,Suficiente,no funciona
muy a gusto,Correcto,nefasta
limpio,Mejorable,estafa
increíble,Básico,miserables
fantástico,Tolerable,ladrones
perfecto,Común,reclamar
bonito,Habitual,poco de fiar
elegante,,tragedia
rápido,,cancelacion
recomendable,,dejar tirado
eficiente,,vergüenza
fiable,,abandonado
innovador,,incompetentes
profesional,,mareado
agradable,,inaceptable
acogedor,,desamparado
limpio,,Ineficiente
amplio,,Defectuoso
luminoso,,
moderno,,
tranquilo,,
funcional,,
espacioso,,
confortable,,
céntrico,,
conectado,,
cerca,,
profesional,,
satisfactoria,,
maravilloso,,
perfecta,,
