"columna_1","columna_2"
"GRACIAS AT AL CLIENTE","Pongo 4 estrellas dedicadas a Paula B y al departamento de atención al cliente, no pongo 5 ahora entenderéis por qué,Viajamos 3 personas a Toledo , no por ocio, si no por la operación de un familiar, una situación muy complicada en la que desgraciadamente sufrimos muchos problemas con un anfitrión de Airbnb aqui en Toledo, trató de estafarnos, sacarnos dinero por todos lados y aprovecharse de nosotros, nos quedamos en la calle a las 12 de la noche. Gracias a esta chica, PAULA B se ha podido solucionar todo y airbnb ha respondido muy bien ante este problema y a pesar de todas las molestias ocasionadas queremos agradecerte tu trabajo, gracias Paula por habernos escuchado y aguantar nuestros nervios, era de noche , estabamos desperados y ella lo solucionó. Hemos conseguido el reembolso total. Quiero pedir a Airbnb que por favor retiren a este anfritrion de su plataforma, ya que no esta bien lo que hace, no pongo el nombre porque no quiero que me borren esta reseña, pero si airbnb me lo permite lo pondré a ellos para que lo denuncien también, tambien que valoreis el trabajo de at al cliente que siempre se tiene que enfrentar a estos problemas y hacen lo que pueden con los recursos que tienen en la web. Espero vuestra respuesta."
"Sugerencia en relación a la huella de carbono de Airbnb","Después de hablar con el servicio de atención de Airbnb me han informado correctamente sobre mi duda q tenía q ver con mi interés de borrar los chats de todos los Airbnb donde me he hospedado desde hace años. Al parecer el sistema de la App impide que se borren y su política es de archivarlos pero desde aquí hago la petición de que por razones ambientales y para reducir la huella de Carbono sería más importante que se pudieran eliminar y en todo caso guardar solo aquellos que sean de interés para quienes usamos esta plataforma.Es necesario mejorar estos aspectos para aportar lo menos posible al aumento del cambio climático.  Muchas gracias"
"Anfitriones hasta la vagina (q cono no me dejan)","He creado grupo en Facebook para anfitriones hasta el cono, que casualmente, no parece existir...""anfitriones Airbnb"""
"En general bien","En general bien, pero hay puntos que mejorar como ponerse en la piel de los propietarios y tener mayor cobertura con ellos cuando envían clientes que incumplen las normas."
"Plataforma confiable y sencilla.","Siempre he tenido buenas experiencias cuando me he alojado en AIRBNB, gran servicio, ayuda por parte de los propietarios."
"Hoy me ofrecían un piso a precio irrisorio con múltiples comodidades a un precio  poco normal en estos tiempos, puesto en contacto con el supuesto propietario me dice que un agente de AirBnb nos daria","Hoy y dandome el nombre de la empresa AirBnb llevaba supuestamente el piso que yo pretendía alquilar negándose a que se visitará hasta que firmase el contrato con un Agente de su empresa, ha sido un timo y tengo los datos de los correo con el supuesto dueño."
"Reservas correctas y sin problemas","Tengo que decir que he reservado varias veces a traves de AirBnB (Florencia, Roma, Córdoba, Valencia, etc.) y nunca he tenido problemas, es más los propietarios siempre han ayudado en todo lo que necesitabamos. El unico inconveniente es que a veces las fotos no muestran realmente como son."
"Llaves digitales","Alguien me puede indicar, cuales son las llaves digitales que se adapten mejor para Airbnb"
"Yo tenia una reserva  para dos noches…","Yo tenia una reserva  para dos noches en Miami para este fin de mes, pero por el Covid19 era obvio que no se podía viajar, hablé con airbnb y me devolvieron el dinero al cancelar mi reserva, solo no me devolvieron la comisión de airbnb, pero si el costo total del airbnb que renté, eso me dejó más tranquilo.. He reprogramado mi viaje para fines de Agosto, esperando que ya todo se haya resuelto, y pienso rentar un airbnb..."
"No se como pueden decir que es malo","No se como pueden decir que es malo ,   yo he reservado  varias veces  y no he tenido ningun problema   ,     al contrario  , me parece una gran  aplicacion  ,    reservas un piso y te cuesta menos de la mitad que en un hotel ."
"Contratamos este verano por primera vez…","Contratamos este verano por primera vez y fue mejor de lo esperado. El alojamiento  estaba impecable y el anfitrión Cristopher,  en Chile, muy amable y accesible. No tuvimos ningún problema"
"Siempre he tenido buenas experiencias …","Siempre he tenido buenas experiencias en Airbnb España.Aprovecho la ocasión para pedirles unos minutos, estoy realizando una encuesta para mi trabajo de fin de grado sobre experiencias y opiniones de AIRBNB, y me sería de mucha ayuda que reflejaran en la encuesta sus opiniones y motivaciones para el uso de AIRBNB"
"Los apartamentos los puedes reservar y …","Los apartamentos los puedes reservar y ordenar por precio. En ocasiones, más barato que un hotel."
"Primera experiencia, un éxito","Solo he tenido una experiencia con la plataforma, pero me ha ido genial. La recomiendo. Pero eso sí, no apostemos por el alojamiento más barato, sino por uno de buen precio pero con reseñas y que tengan credibilidad."
"Genial, ya seas anfitrion o huesped, son una alegria.","Para mi ha sido un buen descubrimiento, como anfitrion me ayuda a poner en valor mi propiedad, acosada por el sistema financiero ineptoque nos toca soportar, como amante de viajar, me amplia horizontes. Me alegro de este encuentro."
